==19== NVPROF is profiling process 19, command: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Warning: Profiling results might be incorrect with current version of nvcc compiler used to compile cuda app. Compile with nvcc compiler 9.0 or later version to get correct profiling results. Ignore this warning if code is already compiled with the recommended nvcc version 
==19== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==19== Profiling application: python3 /gnns/pyGAT/test.py --pkl_file trained-model.pkl
==19== Profiling result:
==19== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 Ti (0)","_ZN2at6native27unrolled_elementwise_kernelIZZZNS0_21copy_device_to_deviceERNS_14TensorIteratorEbENKUlvE0_clEvENKUlvE10_clEvEUllE_NS_6detail5ArrayIPcLi2EEE16OffsetCalculatorILi1EjESC_NS0_6memory15LoadWithoutCastENSD_16StoreWithoutCastEEEviT_T0_T1_T2_T3_T4_",18,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"dram_read_transactions","Device Memory Read Transactions",917182,917525,917362
"GeForce GTX 1080 Ti (0)","void at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"dram_write_transactions","Device Memory Write Transactions",885146,914528,909602
"GeForce GTX 1080 Ti (0)","void at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","void at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_sp","Floating Point Operations(Single Precision)",170240800,170240800,170240800
"GeForce GTX 1080 Ti (0)","void at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::cunn_SoftMaxForward<int=4, float, float, float, at::native::_GLOBAL__N__54_tmpxft_00004a91_00000000_11_SoftMax_compute_75_cpp1_ii_a3310042::SoftMaxForwardEpilogue>(float*, float*, int)",9,"flop_count_hp","Floating Point Operations(Half Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_10elu_kernelERNS_14TensorIteratorEN3c106ScalarES5_S5_ENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"dram_read_transactions","Device Memory Read Transactions",139,2855,2498
"GeForce GTX 1080 Ti (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_10elu_kernelERNS_14TensorIteratorEN3c106ScalarES5_S5_ENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"dram_write_transactions","Device Memory Write Transactions",1742,4870,2969
"GeForce GTX 1080 Ti (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_10elu_kernelERNS_14TensorIteratorEN3c106ScalarES5_S5_ENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_dp","Floating Point Operations(Double Precision)",0,0,0
"GeForce GTX 1080 Ti (0)","_ZN2at6native29vectorized_elementwise_kernelILi4EZZZNS0_10elu_kernelERNS_14TensorIteratorEN3c106ScalarES5_S5_ENKUlvE_clEvENKUlvE2_clEvEUlfE_NS_6detail5ArrayIPcLi2EEEEEviT0_T1_",9,"flop_count_sp","Floating Point Operations(Single Precision)",116114,135464,126854
